Goat,"A goat is a type of animal that can be either domesticated or wild and originate from southwest Asia. Goats are characterized by their resemblance to sheep and are used for their meat, milk, hair, and skin.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/goat_esdxxz.png",Mammals,"Mammals are members of class Mammalia, air-breathing vertebrate animals.",Animals,"Animals of all types, including pets and zoon animals."
S,"S is the nineteenth letter of the alphabet. S also represents Sulfur, with an Atomic Number of 16, on the Periodic Table of Elements.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/s-lower_xwfdxv.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Wink,A wink is a facial contortion made by briefly closing one eye and re-opening it while keeping the other eye open. Winks are often a non-verbal communication that signals knowledge of a hidden message or intent between the winker and the wink recipient.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/wink_piq9hz.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Wash Hands,Keeping hands clean is one of the best ways to prevent the spread of infection and illness. Hand washing is easy to do and only take a few seconds to be done properly. Clean hands can stop germs from spreading from one person to another and throughout an entire community.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/wash-hands_g8spu9.png",Personal Care,To care for oneself and personal hygiene.,Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
Sack Lunch,A sack lunch is lunch often prepared at home by a parent and sent to school with their child. Sack lunches provide the parent the benefit of controlling their child's eating habits and supplementing their diet with nutrition that they deem most appropriate.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/sack-lunch_pq4fba.png",Snacks and More,"Food that can be classified in numerous categories, with a main focus on snack foods.",Foods,"Delicious foods, including deserts and snacks."
Sandbox,"A sandbox is a container, typically square, that is filled with sand and is used by children to play. Sandboxes are great sensory tools as well as a fun way to bring the beach experience home.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/sandbox_ou6er3.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Pink,The color pink.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/pink_q07n9q.png",Colors,"Colors are derived from the spectrum of light. This category contains the basic colors, such as red, green, and blue.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
p,"P is the sixteenth letter of the alphabet. P also represents the element Phosphorus, with an Atomic Number of 15, on the Periodic Table of Elements.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/p-lower_jvvfmn.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Summer,"Summer is the warmest of the four temperate seasons, between spring and autumn. At the summer solstice, the days are longest and the nights are shortest, with day-length decreasing as the season progresses after the solstice. The date of the beginning of summer varies according to climate, culture, and tradition, but when it is summer in the Northern Hemisphere it is winter in the Southern Hemisphere, and vice versa.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/summer_lou9k3.png",Seasons,"A season is a division of the year, marked by changes in weather, ecology, and hours of daylight. Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
No Eating Objects,"Card that can be used for someone who suffer from Pica, a disorder in which non-nutritive substances are consumed. Card with a child eating crayons with a strike-out symbol to emphasize “not” performing the action depicted.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/no-eating-objects_cjhezp.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Fireman,"A fireman, also known as a firefighter, is a modern day hero who is trained to put out fires and rescue people and pets from hazardous conditions. Firefighters main transportation is a fire engine.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/fireman_a3zabn.png",Individuals,A single person or entity.,People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
Books,"A book, or books, contains written, illustrated, or printed material that is fastened together on a hinge. Books are comprised of pages, with each side representing a leaf. It's estimated that there have been approximately 130,000,000 unique titles since the invention of the printing press.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608185/blowing_eklzbt.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Strawberry,"The garden strawberry, Fragaria × ananassa, is a hybrid species that is cultivated worldwide for its fruit, the (common) strawberry. The fruit (which is not actually a berry, but an aggregate accessory fruit) is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/strawberry_pqpvog.png",Fruit,Anything that falls into the fruit category.,Foods,"Delicious foods, including deserts and snacks."
Lay down,"To lay down is the act of placing the body in a horizontal position, often for the purpose of sleep or rest. Many children enjoying laying down in front of the television to watch their favorite movies or cartoons.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/lay-down_rwhmch.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Throwing,"Throwing is the act of launching an object as a projectile, often by hand. This may include appropriate throwing (a football) or inappropriate throwing (a glass).","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/throwing_n8mwmy.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Hand,"A hand is the multi-fingered extremity that allows us to grasp, touch, and create with. Hands allow for both fine and gross motor skills and provide tactile feedback. Hands are found on primates, such as humans, monkeys, and chimps.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/hand_gfcqho.png",Body Parts,"Of and relating to the body, including bones, body parts, and facial features.",People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
Pot,"A pot, or a sauce pan, is a type of cookware that is used on the stove to heat food items, typically those of a liquid-type consistency.  Pots can be made from a variety of material, including steel, iron, or copper.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/pot_tno3uc.png",Kitchen,Items and activities that take place or are found in and around the kitchen.,Household,Objects and artefacts that can be found inside the home.
Toast,"Toast is a bread that has been browned, or toasted, on each side and is often served as a breakfast item with butter or jam.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/toast_lc3jz1.png",Breakfast,"Breakfast is typically the first meal eaten during the day, most often before startiing the daily routine or work.",Foods,"Delicious foods, including deserts and snacks."
Pick,"A pick is a hand-held tool that is often used to break up rocky surfaces. It's distinguished from a pickaxe by both ends of the head having pointed edges, as opposed to one side having a flat head.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/pick_kjo6tl.png",Hand Tools,Tools powered only by your hands.,Tools,"Various tools, including hand and power tools."
Shake Hands,"Shaking hands, also known as a handshake, is a greeting ritual that is characterized by the gripping of hands between two people with a shaking in the up and down motion.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/shake-hands_oiewbn.png",General Actions,All actions that do not fall into one of our specific categories. This is the catch all that contains most action related activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Throw away,"Throwing away is the act of discarding an item with no intent to re-use it. Once thrown away, the item is considered trash as it is no longer needed or wanted.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/throw-away_qo16vy.png",General Help,"Help is a form of assistance, both self-help and the helping of others. This category includes any action or process which can fall into the category of help.",Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
G,G is the seventh letter of the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/g-upper_sxdik2.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Dentist,"A dentist, or dental surgeon, is a care practitioner that specializes in the oral cavity, such as the gums and teeth. Dentists are responsible for the prevention and treatment of diseases and conditions of the mouth.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610180/dentist_md62dc.png",Care Facilities,Care Facilities are places that are responsible for our care and well being. The category contains PECS cards of and related to anything within the care category.,Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Therapist,"A therapist is a person educated and skilled in a particular kind of therapy, such as physical or mental therapy. Physical therapists use a variety of physical methods, such as physical exercise to help rehabilitate patients who are sick or wounded.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/therapist_ukafhp.png",Therapy,"PECS cards pertaining to or related to therapy, physical exercise, and therapists.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
f,F is the sixth letter in the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/f-lower_txe7r0.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Bad Smell,"When something has a bad smell, often referred to as being stinky, it omits a foul or offensive odor.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607688/bad-smell_mdf45z.png",Senses,"Senses are the physiological capacities of providing perceptual data to organisms. As humans, we have several traditional senses that include hearing, sight, smell, touch, and taste.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Swing,A swing is a seat that is suspended in the air and typically found outdoors at playgrounds. Swings are often suspended by chains or rope and move in a pendulum type fashion.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/swing_ov55cm.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Stubborn,"Stubborn describes a behavior in which someone is opposed to changing his or her opinions. In general, a stubborn person always thinks he or she is right and are difficult to persuade in changing their opinion.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/stubborn_bltv5y.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Turtle,Turtles are reptiles that are characterized by a strong cartilaginous shell that acts as a shield. The upper shell of the turtle is called the carapace while the lower shell that covers the belly is called the plastron.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/turtle_qeexlz.png",Reptiles,Repitles are members of the vertebrate class which contains over 300 species of turtles and over 9000 species of snakes.,Animals,"Animals of all types, including pets and zoon animals."
Lock,"A lock is a security device used to keep others from accessing something, typically a storage container or a door. Locks are typically mechanical, but can also be electric and usually require secret information be provided in order to unlock it. This information can come in the form of a specialized key, a key code, or a fingerprint.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/lock_lgdhfz.png",Misc Tools,A broad category of tools that don't fall into the more specific categories,Tools,"Various tools, including hand and power tools."
Look,"To ""look"" is to turn one's attention to something, either in the distance or in close proximity, in order to observe it.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/look_w0aytf.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Pie,A pie is a baked dish which is usually made of a pastry dough casing that covers or completely contains a filling of various sweet or savoury ingredients.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/pie_xdlfks.png",Desserts,"Delicious desserts, including cakes and pies.",Foods,"Delicious foods, including deserts and snacks."
Toothpaste Closed,"Toothpaste is a paste that's used with a toothbrush to maintain personal hygiene of the mouth, specifically the teeth. With the help of a toothbrush, toothpaste aids in removing plaque and food particles from the teeth, suppressing bad breath and keeping the teeth and gums healthy.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/toothpaste-closed_xnznhs.png",Bathroom,Items and activities that you would take place or be found in and around the bathroom.,Household,Objects and artefacts that can be found inside the home.
Corn,"Corn, also known as maize, is a vegetable that consists of a leafy stalk that produces ears which contain kernels. Corn has a wide variety of culinary uses, as well as non-culinary uses, including bio-fuels and ornamentation.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609937/corn_biabsm.png",Vegetables,Vegetables are parts of plants that are consumed by humans or other animals as food.,Foods,"Delicious foods, including deserts and snacks."
Apple Juice,"Apple juice is a fruit juice made from pressing apples. Apple juice can be pasteurized, which involves the expelled juice to be treated to remove starch and pectin and then pasteurized.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607202/apple-juice_bjssxa.png",Snacks and More,"Food that can be classified in numerous categories, with a main focus on snack foods.",Foods,"Delicious foods, including deserts and snacks."
Afternoon,The period of time between noon and evening is known as the Afternoon.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607109/afternoon_gkgwed.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Household Cleaner,"A household cleaner can come in many forms, but are typically used as disinfectants that are applied to surfaces in and around the kitchen, such as cook tops or counters.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/household-cleaner_i7xyld.png",Kitchen,Items and activities that take place or are found in and around the kitchen.,Household,Objects and artefacts that can be found inside the home.
Don't Touch,"The act of refraining from touching, usually to communicate the prevention of touching a surface that could cause injury or pain.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/dont-touch_gog7aw.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Circle,"A circle is a simple geometrical shape consisting of points in a plane that are equal distinace from the center. Circles consistent of a radius, a diameter, the centre and circumference.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609314/circle_ss1mf7.png",Shapes,"A shape is a geometrical description of the part of that space occupied by an object. These include a set of two or more points, a line, a curve, a plane, or a plane figure (square or circle), or a solid figure (cube).",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Pumpkin,A pumpkin as a type of squash that is characterized by its creased thick orange or yellow exterior and its seedy and pulpy interior. The pumpkin is traditionally associated with Halloween as a decorative item and Thanksgiving where it's usually consumed in the form of a pie.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/pumpkin_dcujr9.png",Holidays,"A holiday is a designated day of special significance that celebrates religion, individuals, military, or government.  Some holidays, such as Christmas, are considered non-working holidays for the general population.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Climb Tree,"To climb a tree is the act of ascending a tree by pulling oneself up from tree branch to tree branch with the intent of reaching a certain height. Climbing trees requires physical strength, balance, and planning. As the saying goes, what goes up must come down. When climbing a tree, the hard part is climbing back down!","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609554/climb-tree_yjjvc3.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Ride On,"A ride-on is a wheeled vehicle large enough for a child to physically sit on it. A ride-on vehicle may be powered by pedals or a battery, such as the case with Power Wheels toys.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/ride-on_kjufzh.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Brush Hair,Brushing hair to maintain personal hygiene and appearance.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608454/brush-hair_koxqhv.png",Personal Care,To care for oneself and personal hygiene.,Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
Congratulations,Congratulations is the expression of happiness or joy for the good fortune and success of another individual.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609817/congratulations_olbmv9.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Y,Y is the twenty-fifth letter in the alphabet and represents either a vowel or a consonant.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/y-upper_tfskbq.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Clap,"A clap is the sound made when forcefully striking two hands together, typically as an expression of appreciation or approval. Clapping is also done in rhythm to accompany music or as a form of expression in dance.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609420/clap_u2bu2b.png",General Actions,All actions that do not fall into one of our specific categories. This is the catch all that contains most action related activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Good Job,Pride in self-accomplishment on doing a good job on a task or assignment. Praise can also be given by others for a task that has been completed at or beyond expectations.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/good-job_tzafiv.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Kicking,"A kick is a physical strike with the foot, leg, or knee with an intent to do damage. The act of kicking in general is a universal form of human aggression.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/kicking_br3caq.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Horse,"A horse is a mammal of the Equidae family of odd-toed ungulates. Domesticated horses serve mankind in various capacities, dating back to around 4000 BC. Horses are characterized by their unique physical attributes, including their elongated nasal bone and mandible and their hoofed feet.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/horse_mwt5xu.png",Mammals,"Mammals are members of class Mammalia, air-breathing vertebrate animals.",Animals,"Animals of all types, including pets and zoon animals."
Play Recorder,"A recorder is a woodwind instrument that is played by blowing into an end with the mouth while holding the recorder outward. Recorders can be made of a variety of materials, including wood, ivory, or plastic.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/play-recorder_qmds6d.png",Music,"Music is a form of art where sound is the common medium. Music consists of tempo, pitch, and rhythm. Music plays an important part of many cultures and can combine both song and instrumentals.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
4 o'clock,The 4 o'clock position on a clock is used to indicate the hour of the day or night.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578606873/4-oclock_h7ygb9.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
C,C is the third letter of the alphabet. It's also the letter used to represent the value 100 in Roman numerals.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608687/c-upper_wamapb.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Climbing,"Climbing is the activity of using the limbs to ascend a steep object . Climbing can also be an activity that is done professionally or solely for entertainment, such as mountain climbing.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609693/climbing_dtwri7.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Bananas,"Bananas come in a variety of colors and sizes. When ripe, they can be yellow, purple, or red. The Cavendish banana is the most common banana type sold and are a staple starch for many tropical populations.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607928/bananas_drvlnr.png",Fruit,Anything that falls into the fruit category.,Foods,"Delicious foods, including deserts and snacks."
Time Out,A time-out is a parenting technique used as a form of child discipline. It involves separating a child from an environment when inappropriate behavior has occurred. Some parents find a face-down timeout can be effective.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/time-out_nxvd1g.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
c,C is the third letter of the alphabet. It's also the letter used to represent the value 100 in Roman numerals.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608563/c-lower_cgbenn.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Park,A park is a natural or semi-natural setting that is designed for recreation and entertainment. Parks vary by location though most of them provide an open landscape.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/park_gkoiep.png",Outdoors,"Areas and places that can be found outdoors, such as park or playgrounds.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Snowplow,"A snowplow (also spelled snow plow, snowplough or snow plough, see miscellaneous spelling differences) is a device intended for mounting on a vehicle, used for removing snow and ice from outdoor surfaces, typically those serving transportation purposes.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/snow-plow_ekd311.png",Ground,Transportation that takes place on the ground and on roads.,Transportation,"Transport or transportation is the movement of people, cattle, animals and goods from one location to another. Modes of transport include air, rail, road, water, cable, pipeline, and space."
Panties,Panties are female are garments worn under pants or a dress and are designed to keep the wearer's private parts comfortable and concealed.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/panties_dwwlnw.png",Lower Body,"Clothing worn on the lower part of the body, such as underwear or pants.",Clothing,"Articles of clothing that can be worn on various parts of the body, such as the head or feet."
Chopping Knife,"A chopping knife, or a chef's knife, is a knife used for cutting and food preparation. Chopping knives are characterized by their sharp large rectangular blade that allows the user to apply even pressure and chops when preparing food.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609070/chopping-knife_d4gypv.png",Kitchen,Items and activities that take place or are found in and around the kitchen.,Household,Objects and artefacts that can be found inside the home.
r,R is the eighteenth letter of the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/r-lower_gezowh.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
August,"August is the eighth month of the year with a total of 31 days, one of 7 such months with that total. August is a summer month in the Northern Hemisphere and characterized by its hot temperatures.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607311/august_qae3qz.png",Months,A month is a unit of time that relates to the revolution of the moon. Lunar calendars contain 12 months with an average of 30.5 days per month.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Elbow,The elbow is the hinge joint between the humerus (long bone in the arm or forelimb that runs from the shoulder to the elbow ) and the ulna in the forearm. The elbow allows the arm to move freely to and away from the body.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/elbow_d0rewa.png",Body Parts,"Of and relating to the body, including bones, body parts, and facial features.",People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
1 o'clock,The 1 o'clock position on a clock is used to indicate the hour of the day or night.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578606790/1-oclock_aytwvg.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Onion,"The onion (Allium cepa), which is also known as the bulb onion, common onion and garden onion,[citation needed] is the most widely cultivated species of the genus Allium.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/onion_dpaovj.png",Vegetables,Vegetables are parts of plants that are consumed by humans or other animals as food.,Foods,"Delicious foods, including deserts and snacks."
Swimming,"A child in the act of swimming. Swimming is the act of self-propulsion though a body of water, sometime for fun or for sport, as well as therapy.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/swimming_anv2ra.png",Entertainment,"Entertainment refers to actions, activities, or events that are designed with the purpose of entertaining. This category includes everything from video games to watching movies.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Van,A van is a road vehicle used for transporting goods or groups of people.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/van_dlipxv.png",Ground,Transportation that takes place on the ground and on roads.,Transportation,"Transport or transportation is the movement of people, cattle, animals and goods from one location to another. Modes of transport include air, rail, road, water, cable, pipeline, and space."
Keyboard,A keyboard is a musical instrument that is comprised of a combination of long and short keys. Depressing a key causes the keyboard to produce a sound of a certain octave.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/keyboard_owipyy.png",Music,"Music is a form of art where sound is the common medium. Music consists of tempo, pitch, and rhythm. Music plays an important part of many cultures and can combine both song and instrumentals.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
